MEASUREMENT_ID,MEASUREMENT_DATE_TIME,MEASUREMENT_VALUE,MEASUREMENT_TYPE,MEASUREMENT_STATUS,MEASUREMENT_DATE,OP,TRANSACTION_ID
133357892500,10/6/2015 6:57:47 AM,6,automated,OK,10/6/2015,I,1
581677978713,10/14/2015 12:00:05 AM,6,automated,OK,10/14/2015,I,2
408956884966,11/2/2015 9:14:34 AM,4,automated,OK,11/2/2015,I,3
928253396836,10/20/2015 7:19:15 AM,1,automated,OK,10/20/2015,I,4
880185780097,10/15/2015 12:03:17 AM,8,automated,OK,10/15/2015,I,5
863557766697,10/30/2015 9:04:00 AM,1,automated,OK,10/30/2015,I,6
123679729327,10/22/2015 12:18:00 AM,5,automated,OK,10/22/2015,I,7
527702103176,10/12/2015 10:01:39 PM,3,automated,OK,10/12/2015,I,8
579910050302,10/23/2015 12:32:00 AM,7,automated,OK,10/23/2015,I,9
184412414135,10/26/2015 10:42:02 AM,6,automated,OK,10/26/2015,I,10
732792189447,10/10/2015 10:00:00 PM,5,automated,OK,10/10/2015,I,11
139608548653,10/9/2015 1:58:29 AM,6.28,automated,OK,10/9/2015,I,12
196952131147,10/14/2015 11:00:00 AM,9,automated,OK,10/14/2015,I,13
169701146787,10/13/2015 9:59:51 PM,9,automated,OK,10/13/2015,I,14
450049110003,10/9/2015 11:53:43 AM,3,automated,OK,10/9/2015,I,15
274034509179,10/10/2015 1:07:02 AM,5,automated,OK,10/10/2015,I,16
942268028814,4/4/2017 12:05:04 PM,7,automated,OK,4/4/2017,I,17
407935476228,10/13/2015 8:23:00 AM,3,automated,OK,10/13/2015,I,18
68412741341,11/2/2015 6:54:21 AM,7,automated,OK,11/2/2015,I,19
672113332274,10/18/2015 11:00:00 PM,5,automated,OK,10/18/2015,I,20
123679729325,11/26/2015 12:21:00 PM,39,automated,OK,11/26/2015,I,21
408956884968,12/1/2015 11:01:35 AM,3514,automated,OK,12/1/2015,I,22
581677978711,11/14/2015 1:00:29 AM,723,automated,OK,11/14/2015,I,23
928253396834,11/13/2015 1:10:49 AM,375,automated,OK,11/13/2015,I,24
880185780102,11/16/2015 12:07:34 PM,717,automated,OK,11/16/2015,I,25
863557766695,12/6/2015 11:15:00 AM,714,automated,OK,12/6/2015,I,26
732792189452,11/14/2015 11:55:00 PM,591,automated,OK,11/14/2015,I,27
184412414130,11/28/2015 11:59:59 PM,357,automated,OK,11/28/2015,I,28
59993202431,11/9/2015 1:19:00 AM,39,automated,OK,11/9/2015,I,29
527702103174,11/5/2015 11:59:10 PM,14,automated,OK,11/5/2015,I,30
169701146790,11/9/2015 11:55:41 PM,51,automated,OK,11/9/2015,I,31
139608548654,11/5/2015 1:28:56 AM,9.16,automated,OK,11/5/2015,I,32
646511562662,11/26/2015 3:12:00 AM,24,automated,OK,11/26/2015,I,33
450049110003,11/9/2015 1:06:06 AM,11,automated,OK,11/9/2015,I,34
579910050299,11/23/2015 12:07:00 PM,47,automated,OK,11/23/2015,I,35
196952131151,11/15/2015 12:00:00 PM,35,automated,OK,11/15/2015,I,36
274034509173,11/10/2015 2:12:10 AM,836,automated,OK,11/10/2015,I,37
407935476228,11/16/2015 9:33:00 AM,89,automated,OK,11/16/2015,I,38
68412741338,11/25/2015 11:59:59 PM,1489,automated,OK,11/25/2015,I,39
