MEASR_COMP_ID,MSRMT_DTTM,BO_STATUS_CD,MSRMT_COND_FLG,MSRMT_USE_FLG,MSRMT_LOCAL_DTTM,MSRMT_VAL,ORIG_INIT_MSRMT_ID,PREV_MSRMT_DTTM,MSRMT_VAL1,MSRMT_VAL2,MSRMT_VAL3,MSRMT_VAL4,MSRMT_VAL5,MSRMT_VAL6,MSRMT_VAL7,MSRMT_VAL8,MSRMT_VAL9,MSRMT_VAL10,BUS_OBJ_CD,CRE_DTTM,STATUS_UPD_DTTM,USER_EDITED_FLG,VERSION,LAST_UPDATE_DTTM,READING_VAL,COMBINED_MULTIPLIER,READING_COND_FLG
1.33808E+13,10/1/2018 6:57,OK,403001,,10/1/20157:57,1.2,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,600,1,
1.33808E+13,10/12/20190:00,OK,403001,,10/12/20151:00,1.3,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,605,2,
1.33808E+13,10/26/20159:14,OK,403001,,10/26/201510:14,1.4,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,610,3,
1.33808E+13,10/12/20157:19,OK,403001,,10/12/20158:19,1.5,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,615,4,
1.33808E+13,10/14/20150:03,OK,403001,,10/14/20151:03,1.6,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,620,5,
1.33808E+13,10/29/20159:04,OK,403001,,10/29/201510:04,1.7,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,625,6,
1.33808E+13,10/20/20150:18,OK,403001,,10/20/20151:18,1.8,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,630,7,
1.33808E+13,10/5/201522:01,OK,403001,,10/5/201523:01,1.9,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,635,8,
1.33808E+13,10/20/20150:32,OK,403001,,10/20/20151:32,2,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,640,9,
1.33808E+13,10/22/201510:42,OK,403001,,10/22/201511:42,2.1,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,645,10,
1.33808E+13,10/8/201522:00,OK,403001,,10/8/201523:00,2.2,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,650,11,
1.33808E+13,10/5/20151:58,OK,403001,,10/5/20152:58,2.3,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,655,12,
1.33808E+13,10/9/201511:00,OK,403001,,10/9/201512:00,2.4,1.33808E+13,1/3/201920:00,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,2,10/14/20194:48,660,13,
1.33808E+13,10/8/201521:59,OK,403001,,10/8/201522:59,2.5,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,665,14,
1.33808E+13,10/2/201511:53,OK,403001,,10/2/201512:53,2.6,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,670,15,
1.33808E+13,10/7/20151:07,OK,403001,,10/7/20152:07,2.7,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,675,16,
1.33808E+13,3/27/201712:05,OK,403001,,3/27/201713:05,2.8,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,680,17,
1.33808E+13,10/9/20158:23,OK,403001,,10/9/20159:23,2.9,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,685,18,
1.33808E+13,10/26/20156:54,OK,403001,,10/26/20157:54,3,1.33808E+13,,0,0,0,0,0,0,0,0,0,0,D1-Measurement,10/14/20194:48,10/14/20194:48,,1,10/14/20194:48,690,19,
